"time{s}","ControlVolume1\C\p.T{K}","ControlVolume2\C\p.T{K}"
88.5700000000086,329.852856174382,329.871775392491
88.5800000000086,329.852944512344,329.871852372299
88.5900000000086,329.853032797273,329.871929305892
88.6000000000086,329.8531210292,329.872006193298
88.6100000000086,329.853209208157,329.872083034545
88.6200000000086,329.853297334176,329.87215982966
88.6300000000086,329.853385407288,329.87223657867
88.6400000000086,329.853473427525,329.872313281605
88.6500000000086,329.853561394919,329.87238993849
88.6600000000086,329.853649309502,329.872466549355
88.6700000000086,329.853737171305,329.872543114226
88.6800000000086,329.853824980361,329.872619633131
88.6900000000086,329.8539127367,329.872696106098
88.7000000000086,329.854000440354,329.872772533154
88.7100000000086,329.854088091356,329.872848914328
88.7200000000087,329.854175689736,329.872925249645
88.7300000000087,329.854263235526,329.873001539135
88.7400000000087,329.854350728758,329.873077782824
88.7500000000087,329.854438169464,329.87315398074
88.7600000000087,329.854525557674,329.873230132911
88.7700000000087,329.854612893421,329.873306239363
88.7800000000087,329.854700176736,329.873382300125
88.7900000000087,329.85478740765,329.873458315224
88.8000000000087,329.854874586195,329.873534284687
88.8100000000087,329.854961712402,329.873610208541
88.8200000000087,329.855048786303,329.873686086815
88.8300000000087,329.855135807929,329.873761919534
88.8400000000087,329.855222777311,329.873837706728
88.8500000000087,329.855309694482,329.873913448423
88.8600000000087,329.855396559471,329.873989144646
88.8700000000087,329.855483372311,329.874064795424
88.8800000000087,329.855570133033,329.874140400786
88.8900000000087,329.855656841668,329.874215960758
88.9000000000087,329.855743498247,329.874291475367
88.9100000000088,329.855830102802,329.874366944641
88.9200000000088,329.855916655364,329.874442368606
88.9300000000088,329.856003155964,329.874517747291
88.9400000000088,329.856089604633,329.874593080722
88.9500000000088,329.856176001403,329.874668368927
88.9600000000088,329.856262346304,329.874743611932
88.9700000000088,329.856348639368,329.874818809765
88.9800000000088,329.856434880626,329.874893962453
88.9900000000088,329.856521070109,329.874969070023
89.0000000000088,329.856607207848,329.875044132502
89.0100000000088,329.856693293874,329.875119149917
89.0200000000088,329.856779328218,329.875194122295
89.0300000000088,329.856865310912,329.875269049664
89.0400000000088,329.856951241985,329.875343932049
89.0500000000088,329.85703712147,329.875418769479
89.0600000000088,329.857122949397,329.87549356198
89.0700000000088,329.857208725797,329.87556830958
89.0800000000088,329.857294450702,329.875643012304
89.0900000000088,329.857380124141,329.875717670181
89.1000000000088,329.857465746146,329.875792283236
89.1100000000089,329.857551316748,329.875866851498
89.1200000000089,329.857636835977,329.875941374992
89.1300000000089,329.857722303865,329.876015853746
89.1400000000089,329.857807720442,329.876090287787
89.1500000000089,329.857893085739,329.876164677141
89.1600000000089,329.857978399787,329.876239021835
89.1700000000089,329.858063662616,329.876313321897
89.1800000000089,329.858148874258,329.876387577352
89.1900000000089,329.858234034744,329.876461788228
89.2000000000089,329.858319144102,329.876535954551
89.2100000000089,329.858404202366,329.876610076348
89.2200000000089,329.858489209564,329.876684153647
89.2300000000089,329.858574165729,329.876758186473
89.2400000000089,329.85865907089,329.876832174853
89.2500000000089,329.858743925078,329.876906118814
89.2600000000089,329.858828728324,329.876980018382
89.2700000000089,329.858913480658,329.877053873585
89.2800000000089,329.85899818211,329.877127684449
89.2900000000089,329.859082832713,329.877201451
89.300000000009,329.859167432495,329.877275173266
89.310000000009,329.859251981488,329.877348851272
89.320000000009,329.859336479721,329.877422485046
89.330000000009,329.859420927226,329.877496074613
89.340000000009,329.859505324033,329.877569620001
89.350000000009,329.859589670172,329.877643121236
89.360000000009,329.859673965674,329.877716578344
89.370000000009,329.859758210569,329.877789991352
89.380000000009,329.859842404887,329.877863360286
89.390000000009,329.859926548659,329.877936685174
89.400000000009,329.860010641916,329.87800996604
89.410000000009,329.860094684687,329.878083202913
89.420000000009,329.860178677003,329.878156395817
89.430000000009,329.860262618894,329.87822954478
89.440000000009,329.86034651039,329.878302649828
89.450000000009,329.860430351522,329.878375710987
89.460000000009,329.86051414232,329.878448728284
89.470000000009,329.860597882814,329.878521701744
89.480000000009,329.860681573034,329.878594631395
89.490000000009,329.860765213011,329.878667517263
89.5000000000091,329.860848802775,329.878740359373
89.5100000000091,329.860932342355,329.878813157753
89.5200000000091,329.861015831782,329.878885912428
89.5300000000091,329.861099271086,329.878958623424
89.5400000000091,329.861182660298,329.879031290769
89.5500000000091,329.861265999446,329.879103914487
89.5600000000091,329.861349288562,329.879176494606
89.5700000000091,329.861432527675,329.879249031151
89.5800000000091,329.861515716816,329.879321524149
89.5900000000091,329.861598856014,329.879393973625
89.6000000000091,329.861681945299,329.879466379606
89.6100000000091,329.861764984701,329.879538742118
89.6200000000091,329.86184797425,329.879611061188
89.6300000000091,329.861930913977,329.87968333684
89.6400000000091,329.862013803911,329.879755569102
89.6500000000091,329.862096644081,329.879827757999
89.6600000000091,329.862179434519,329.879899903557
89.6700000000091,329.862262175253,329.879972005802
89.6800000000091,329.862344866314,329.880044064761
89.6900000000092,329.862427507731,329.880116080459
89.7000000000092,329.862510099534,329.880188052922
89.7100000000092,329.862592641753,329.880259982177
89.7200000000092,329.862675134418,329.880331868248
89.7300000000092,329.862757577558,329.880403711163
89.7400000000092,329.862839971203,329.880475510947
89.7500000000092,329.862922315384,329.880547267626
89.7600000000092,329.863004610129,329.880618981225
89.7700000000092,329.863086855468,329.880690651771
89.7800000000092,329.863169051431,329.88076227929
89.7900000000092,329.863251198047,329.880833863807
89.8000000000092,329.863333295347,329.880905405348
89.8100000000092,329.86341534336,329.880976903939
89.8200000000092,329.863497342115,329.881048359605
89.8300000000092,329.863579291642,329.881119772373
89.8400000000092,329.86366119197,329.881191142269
89.8500000000092,329.86374304313,329.881262469317
89.8600000000092,329.86382484515,329.881333753544
89.8700000000092,329.86390659806,329.881404994975
89.8800000000092,329.86398830189,329.881476193637
89.8900000000093,329.864069956669,329.881547349554
89.9000000000093,329.864151562426,329.881618462753
89.9100000000093,329.864233119191,329.881689533259
89.9200000000093,329.864314626994,329.881760561097
89.9300000000093,329.864396085863,329.881831546294
89.9400000000093,329.864477495828,329.881902488875
89.9500000000093,329.864558856919,329.881973388865
89.9600000000093,329.864640169164,329.882044246291
89.9700000000093,329.864721432594,329.882115061177
89.9800000000093,329.864802647237,329.882185833549
89.9900000000093,329.864883813123,329.882256563433
90.0000000000093,329.86496493028,329.882327250854
90.0100000000093,329.865045998739,329.882397895838
90.0200000000093,329.865127018529,329.88246849841
90.0300000000093,329.865207989678,329.882539058596
90.0400000000093,329.865288912216,329.882609576421
90.0500000000093,329.865369786172,329.88268005191
90.0600000000093,329.865450611575,329.882750485089
90.0700000000093,329.865531388455,329.882820875984
90.0800000000093,329.86561211684,329.882891224619
90.0900000000094,329.86569279676,329.88296153102
90.1000000000094,329.865773428243,329.883031795213
90.1100000000094,329.86585401132,329.883102017223
90.1200000000094,329.865934546018,329.883172197074
90.1300000000094,329.866015032367,329.883242334793
90.1400000000094,329.866095470396,329.883312430405
90.1500000000094,329.866175860134,329.883382483935
90.1600000000094,329.86625620161,329.883452495408
90.1700000000094,329.866336494853,329.88352246485
90.1800000000094,329.866416739891,329.883592392285
90.1900000000094,329.866496936755,329.883662277739
90.2000000000094,329.866577085472,329.883732121238
90.2100000000094,329.866657186072,329.883801922806
90.2200000000094,329.866737238584,329.883871682468
90.2300000000094,329.866817243035,329.88394140025
90.2400000000094,329.866897199456,329.884011076177
90.2500000000094,329.866977107876,329.884080710274
90.2600000000094,329.867056968322,329.884150302566
90.2700000000094,329.867136780823,329.884219853078
90.2800000000095,329.86721654541,329.884289361835
90.2900000000095,329.867296262109,329.884358828863
90.3000000000095,329.867375930951,329.884428254186
90.3100000000095,329.867455551963,329.884497637829
90.3200000000095,329.867535125174,329.884566979818
90.3300000000095,329.867614650614,329.884636280177
90.3400000000095,329.867694128311,329.884705538932
90.3500000000095,329.867773558293,329.884774756107
90.3600000000095,329.867852940589,329.884843931727
90.3700000000095,329.867932275228,329.884913065818
90.3800000000095,329.868011562238,329.884982158404
90.3900000000095,329.868090801649,329.88505120951
90.4000000000095,329.868169993487,329.885120219161
90.4100000000095,329.868249137783,329.885189187382
90.4200000000095,329.868328234565,329.885258114198
